Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
산업안전기사,2004,3,안전관리론,1,작업 전 5분간 미팅의 시나리오를 작성하여 그 시나리오를 보고 멤버들이 연기함으로써 체험학습을 시키는 것은?,,Role playing,Brain storming,Action playing,Fish Bowl playing,1
산업안전기사,2004,3,안전관리론,2,부주의가 발생하는 현상이 아닌 것은?,,의식의 단절,의식의 우회,의식 수준의 저하,의식의 집중,4
산업안전기사,2004,3,안전관리론,3,산업안전보건법에서 정하고 있는 안전에 관한 교육내용 중 채용시 및 작업내용 변경시의 교육내용에 해당되지 않는 것은?,,기계ㆍ기구의 위험성과 작업의 순서 및 동선에 관한 사항,사고 발생 시 긴급조치에 관한 사항,작업안전지도 요령에 관한 사항,물질안전보건자료에 관한 사항,3
산업안전기사,2004,3,안전관리론,4,"단위 작업마다의 사용재료, 사용설비, 작업자, 작업조건, 작업방법, 작업의 관리, 이상시의 조치 등을 규정하는 것은?",,공정 보고서,기술 표준서,작업 지도서,공정 계획서,3
산업안전기사,2004,3,안전관리론,5,안전점검표(Check list) 판정 기준에 어긋나는 것은?,,대안과 비교하여 양부를 판정한다.,한 개의 절대 척도나 상대 척도에 의할 때는 수치로 나타낸다.,미경험 문제나 복잡하게 예측되는 문제 등은 독단적으로 판정한다.,복수의 절대 척도나 상대 척도로 조합된 문항은 기준점 이하로 나타낸다.,3
산업안전기사,2004,3,안전관리론,6,경부선 하행 열차를 타고 있는데 똑같은 역에 정차해 있던 상행선 열차가 갑자기 움직이면 우리는 타고 있던 우리의 하행선 열차가 움직인 것 같은 착각을 하게 된다.' 이 와 같은 현상을 무엇이라 하는가?,,유도운동,자동운동,가현운동,브라운운동,1
산업안전기사,2004,3,안전관리론,7,다음 중 신체지지의 목적으로 전신에 착용하는 것으로 높은 곳에서 추락을 방지하기에 사용되는 보호구는?,,벨트식,안전블록,추락방지대,안전그네식,4
산업안전기사,2004,3,안전관리론,8,인간과오(Human error)에서 의지적 제어가 되지 않는다.''결정을 잘못한다.' 등은 다음 어느 것에 해당되는가?,,동작 조작 미스,기억 판단 미스,인지 확인 미스,사람과 환경조건의 영향,2
산업안전기사,2004,3,안전관리론,9,다음 중 안전과 관련된 내용이다. 올바르게 설명된 것은?,,"안전의 4기둥인 4M은 Man(인간), Machine(기계), Material(물자), Management(관리)이다.","안전대책의 3E는 Engineering(기술), Education(교육), Enforcement(강제)이다.",미국의 Bird는 1:29:300법칙을 주장하였다.,분주하기 때문에 안전문제를 별도로 생각할 수 없다는 사람은 생산과 안전을 동일시하고 있다.,2
산업안전기사,2004,3,안전관리론,10,다음 중 업무가 수행되고 있는 작업환경 및 작업조건과 관계되는 것을 설명하는 것은?,,위생요인,동기부여 요인,ERG이론,XㆍY이론,1
산업안전기사,2004,3,안전관리론,11,내전압용 절연장갑은 등급에 따라 규정지어진다. 교류 500V 또는 직류 750V 이하의 작업에서 사용하는 내전압용 절연장갑의 등급은 다음 중 어느 것인가？,,00등급,0등급,3등급,4등급,1
