Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
산업안전기사,2005,1회 추가,안전관리론,1,인간의 적성과 안전과의 관계를 설명한 것으로 맞는 것은?,,"사고를 일으키는 것은 그 작업에 적성이 맞지 않는 사람이 그 일을 수행한 이유이므로, 반드시 적성검사를 실시하여 그 결과에 따라 작업자를 배치하여야 한다.","인간의 감각기별 반응시간은 시각, 청각, 통각 순으로 빠르므로 비상시 비상등을 먼저 켜야 한다.",사생활에 중대한 변화가 있는 사람이 사고를 유발할 가능성이 높으므로 그러한 사람들에게는 특별한 배려가 필요하다.,집단의 심적 태도를 교정하는 것보다 개인의 심적 태도를 교정하는 것이 더 용이하다.,3
산업안전기사,2005,1회 추가,안전관리론,2,"Bird의 재해분포에 따르면 10건의 경상(물적 또는 인적상해)사고가 발생하였을 때 무상해, 무사고(위험순간)는 몇 건이 발생하는가?",,300,400,600,800,3
산업안전기사,2005,1회 추가,안전관리론,3,안전교육에서 학습경험선정의 원리와 거리가 먼 것은?,,가능성의 원리,계속성의 원리,다목적달성의 원리,동기유발의 원리,2
산업안전기사,2005,1회 추가,안전관리론,4,안전교육과 관련하여 바르게 설명한 것은?,,"교재는 노동부, 산업안전공단 또는 지정교육기관이 작성한 교재를 사용하여야 한다.",무재해운동 참여업체 중 무재해목표를 1배이상 달성 하고 무재해가 진행중인 업체는 안전교육을 면제한다,"무재해교육은 정기교육시간으로 간주되나, 무재해 행사는 그렇지 않다.",안전교육의 특성상 통신교육은 허용되지 않는다.,2
산업안전기사,2005,1회 추가,안전관리론,5,위험에 대한 안전을 조사할 때의 사전조사에 해당되지않는 것은?,,적성검사,재해기록,작업분석,안전점검,2
산업안전기사,2005,1회 추가,안전관리론,6,"탱크, 보일러 또는 반응탑의 내부 등 산소결핍이 우려되는 장소에서 아르곤, 탄산가스 또는 헬륨을 사용하여 용접작업을 시키려고 한다. 이때 사용되어야 할 보호구는?",,방진마스크,방독마스크,송기마스크,활성마스크,3
산업안전기사,2005,1회 추가,안전관리론,7,다음 중 프로그램 학습법의 단점에 해당되지 않는 것은?,,리더의 지도기술이 요구된다.,교육 내용이 고정화되어 있다.,학습에 많은 시간이 걸린다.,집단사고의 기회가 없다.,1
산업안전기사,2005,1회 추가,안전관리론,8,하인리히 법칙에 따르면 상해 사고가 20건이 발생할 때 무상해 사고는 몇 건이 발생하는가?,,60,140,200,300,3
산업안전기사,2005,1회 추가,안전관리론,9,교육 실시 원칙상 한번에 하나 하나씩 나누어 확실하게 이해시켜야 하는 단계는?,,도입단계,제시단계,적용단계,확인단계,2
산업안전기사,2005,1회 추가,안전관리론,10,메슬로우의 인간의 욕구중 5번째 단계에 속하는 것은?,,존경,사회,자아실현,안전,3
산업안전기사,2005,1회 추가,안전관리론,11,다음 중 하인리히는 인적사고 중 1:29:300의 법칙을 적용하였다. 여기에서 300의 의미는?,,상해가 없는 경우,경상,중상,부상,1
산업안전기사,2005,1회 추가,안전관리론,12,방진마스크의 선정기준에 해당되지 않는 것은?,,배기저항이 낮을 것,흡기저항이 높을 것,사용적이 적을 것,시야가 넓을 것,2
산업안전기사,2005,1회 추가,안전관리론,13,안전관리의 일상점검 업무 단계를 설명한 것이다. 옳게 연결된 것은?,,실상파악 - 대책결정 - 결함발견 - 대책실시,결함발견 - 대책결정 - 실상파악 - 대책실시,실상파악 - 결함발견 - 대책실시 - 대책결정,실상파악 - 결함발견 - 대책결정 - 대책실시,4
산업안전기사,2005,1회 추가,안전관리론,14,안전교육 계획수립시 고려할 사항이 아닌 것은?,,필요한 정보를 수집한다.,현장의 의견을 충분히 반영한다.,정부규정에 의한 교육에 치중한다.,안전교육 시행체계와의 관련을 고려한다.,3
산업안전기사,2005,1회 추가,안전관리론,15,다음은 물건의 정리를 나타낸 그림이다. 관계 없는 것은?,O,근접의 요인,동류의 요인,폐합의 요인,연속의 요인,3
산업안전기사,2005,1회 추가,안전관리론,16,안전조직 중 안전스탭의 주역할이 아닌 것은?,,안전관리 목표 및 방침안 작성,"정보수집과 주지, 활용",실시계획의 추진,기본방침 및 안전시책 시달,4
산업안전기사,2005,1회 추가,안전관리론,17,"재해발생원인을 관리적인 측면에서 분류하면 기술적 원인, 교육적 원인, 작업관리상 원인으로 분류할 수 있다. 교육적 원인이 아닌 것은?",,안전지식의 부족,안전수칙을 잘못 알고 있음,"경험, 훈련 등이 서투름",작업준비 불충분,4
산업안전기사,2005,1회 추가,안전관리론,18,다음 중 작업자세와 관련하여 틀린 것은?,,가능한 한 신체를 작업대에 가깝게 유지한다.,가능하면 의자에 계속 앉아서 일하게 하여 자세의 안정성을 유지하여 안전을 확보하고 품질을 균일하게 한다.,안정된 지점을 벗어날 정도로 손을 지나치게 뻗지 않는다.,조립라인이나 기계적인 작업의 작업면은 팔꿈치 높이보다 5-10cm 낮게 설정한다.,2
