Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer
산업안전기사,2006,1,안전관리론,1,안전관리의 조직형태 중에서 경영자(수뇌부)의 지휘와 명령이 위에서 아래로 하나의 계통이 되어 잘 전달되며 소규모 기업에 적합한 방식은?,,staff 방식,line 방식,line-staff 방식,round 방식,2
산업안전기사,2006,1,안전관리론,2,관리자 교육 훈련(MTP)시간으로 가장 적당한 것은?,,20시간(4시간×5회),20시간(2시간×10회),40시간(4시간×10회),40시간(2시간×20회),4
산업안전기사,2006,1,안전관리론,3,적성의 요인이 아닌 것은?,,인간성,지능,인간의 개인차,흥미,3
산업안전기사,2006,1,안전관리론,4,어느 사업장에서 해당 년도에 총 660명의 재해자가 발생하였다. 하인리히(Heinrich)의 법칙에 의하면 경상해는 몇명인가?,,53명,58명,600명,602명,2
산업안전기사,2006,1,안전관리론,5,집단관리의 기본적 요소에 속하지 않는 것은?,,감정,행위범위,지위와 역할,목표와 무관심,4
산업안전기사,2006,1,안전관리론,6,연천인율 45인 사업장의 빈도율은 얼마인가?,,18.75,21.26,25.43,31.52,1
산업안전기사,2006,1,안전관리론,7,안전교육 중 앞의 학습이 뒤의 학습에 미치는 영향을 무엇이라 하는가?,,반사(reflex),반응(reaction),전이(transfer),효과(effect),3
산업안전기사,2006,1,안전관리론,8,다음 중 안전보건관리 책임자를 두어야 하는 사업은?,,상시근로자 50인 이상을 사용하는 사업,총 공사금액이 20억원 이상인 공사를 시행하는 건설업,상시근로자 50인 미만이면서 목재 및 나무제품 제조업,상시 근로자수와 관계없는 제1차 금속산업,2
산업안전기사,2006,1,안전관리론,9,추락을 방지하기 위해서 사용하는 안전대는 사용방법에 따라서 벨트식(B식)과 안전그네식(H식)으로 나누어지며 사용구분에 따라 등급이 정해진다. 사용구분이 1개걸이 U자걸이 공용일 경우는 등급이 다음 중에서 어느 것일까?,,1종,2종,3종,4종,3
산업안전기사,2006,1,안전관리론,10,일 중심형으로 업적에 대한 관심은 높지만 인간관계에 무관심한 리더십이 타입은?,,이상형,권력형,방임형,중도형,2
산업안전기사,2006,1,안전관리론,11,안전교육의 형태 중 존 듀이가 주장하는 형식적 교육에 해당하는 것은?,,가정안전교육,사회안전교육,학교안전교육,부모안전교육,3
산업안전기사,2006,1,안전관리론,12,다음 중 개인 안전지도 방법에 부적당한 것은?,,O.J.T,off J.T,Follow-up,카운셀링,2
산업안전기사,2006,1,안전관리론,13,재해예방 4원칙이 아닌 것은?,,손실 우연의 원칙,예방 가능의 원칙,원인 연계의 원칙,사고 예방의 원칙,4
산업안전기사,2006,1,안전관리론,14,안전 보건 표지의 종류와 형태가 잘못 짝지워진 것은?,O,응급구호표지,유해물질경고,세안장치,출입금지,1
산업안전기사,2006,1,안전관리론,15,위생-동기요인에 대한 다음 설명 중 잘못된 것은?,,"위생요인은 Maslow의 욕구단계에서 생리적, 안전, 사회적 욕구와 비슷하다.",동기요인은 McGreger의 X이론과 비슷하다.,위생요인은 동물적인 욕구를 반영하는 것이다.,동기요인은 자아실현을 하려는 인간의 독특한 경향을 반영하는 것이다.,2
산업안전기사,2006,1,안전관리론,16,참가자가 다수인 경우에 전원을 토의에 참가시키기 위한 방법으로 소집단을 구성하여 회의를 진행 시키는데 일명6-6 회의라고도 하는 것은?,,Symposium,Buzz session,Forum,Panel discussion,2
산업안전기사,2006,1,안전관리론,17,통계에 의한 재해 분석방법 중 맞는 것이 아닌 것은?,,파레토도,위험분포도,특성요인도,크로스 분석,2
산업안전기사,2006,1,안전관리론,18,"Lewin.K 이 인간의 행동을 식으로 표현한 것 중 맞는 것은? (단, B : behavior, P : person, E : environment,f : function)",,B = f( P·E ),f = B( P·E ),P = f( B·E ),E = f( P·E ),1
산업안전기사,2006,1,안전관리론,19,산업안전보건법상 관리감독자가 수행하여야 할 업무가 아닌 것은?,,기계·기구 또는 설비의 점검 및 이상 유무 확인,소속 근로자의 작업복 보호구 및 방호 장치 점검,산업재해 발생 보고 및 응급조치,산업재해 조사와 재발방지를 위한 지도·조언,4
산업안전기사,2006,1,안전관리론,20,"다음의 직무분석 방법 중 감독자, 동료 근로자, 그 외의 이 직무를 잘 아는 사람으로부터 성공적이지 못한 근로자와 성공적인 근로자를 구별해 내는 행동을 밝히려는 목적으로 사용되는 것은?",,면접,직접관찰,결정적 사건의 기록,체계적인 일지 작성,3
산업안전기사,2006,1,인간공학 및 시스템안전공학,21,정보가 음성으로 전달되어야 효과적인 때는 어느 경우인가?,,정보가 긴급할 때,정보가 어렵고 추상적일 때,정보의 영구적인 기록이 필요할 때,여러 종류의 정보를 동시에 제시해야 할 때,1
산업안전기사,2006,1,인간공학 및 시스템안전공학,22,다음 그림의 설명 중 틀린 것은?,O,P(A) = P(B) × P(C),B와 C가 동시에 발생하지 않으면 A는 발생하지 않는다,그리참조 AND를 나타낸다.,논리합의 경우이다.,4
산업안전기사,2006,1,인간공학 및 시스템안전공학,23,시스템 안전분석법 중 예비위험분석의 식별된 4가지 사고 카테고리에 해당되지 않는 것은?,,선별적 상태,중대 상태,무시가능 상태,파국적 상태,1
산업안전기사,2006,1,인간공학 및 시스템안전공학,24,"인간과 기계의 기본 기능은 감지, 정보저장, 정보처리 및 의사결정, 행동 등 4가지로 구분할 수 있다. 다음 중 행동기능에 속하는 것은?",,음파탐지기,추론,결심,음성,4
산업안전기사,2006,1,인간공학 및 시스템안전공학,25,작업강도는 에너지 대사율(RMR)로서 측정될 수 있다.사무작업이나 감시작업 등의 중(中)작업의 에너지 대사율은?,,0~1RMR,2~4RMR,4~7RMR,7~9RMR,2
산업안전기사,2006,1,인간공학 및 시스템안전공학,26,전기적 생리신호 측정가운데 근육의 활동도를 측정하는 방법은?,,ECG,EMG,EEG,GSR,2
산업안전기사,2006,1,인간공학 및 시스템안전공학,27,일반적으로 완전 암조응에 걸리는 시간은?,,5~10분,10~20분,30~40분,50~60분,3
산업안전기사,2006,1,인간공학 및 시스템안전공학,28,"n개의 요소를 가진 병렬 시스템에 있어 요소의 수명(MTTF)이 지수 분포를 따를 경우, 시스템의 수명은?",,MTTF ×n,MTTF × 1/n,MTTF×(1+1/2+...+1/n),MTTF×(1×1/2×...×1/n),3
산업안전기사,2006,1,인간공학 및 시스템안전공학,29,"사고예방 및 최소화의 조치는 다음 4가지 항을 어떤 순서로 하는가? ① 사고예방 가능성을 감소시키기 위한 안전성
필요사항을 설계에 반영

② 작업자의 방호가 필요한 곳에는 경고 표시
및 방호조치를 마련

③ 안전성에 관한 절차를 시험절차서와 사용 및
보전 설명서에 포함

④ 필요시 사고예방을 위한 특수한 안전장치를
설계하여 시스템에 반영",,①-②-③-④,①-④-③-②,①-③-④-②,①-④-②-③,4
산업안전기사,2006,1,인간공학 및 시스템안전공학,30,"복잡한 시스템을 설계, 가동하기 전의 구상단계에서 시스템의 근본적인 위험성을 평가하는 가장 기초적인 위험도 분석 기법은 무엇인가?",,결함수 분석법(FTA),예비위험분석(PHA),고장의 형과 영향분석(FMEA),운용 안전성 분석(OSA),2
산업안전기사,2006,1,인간공학 및 시스템안전공학,31,"실내 공간의 조명을 설계할 때, 조명에 대한 반사율이 낮은 면에서 높은 순으로 올바르게 설계된 것은?",,바닥 - 창문 - 가구 - 벽,바닥 - 가구 - 벽 - 천장,창문 - 바닥 - 가구 - 벽,벽 - 천장 - 가구 - 바닥,2
산업안전기사,2006,1,인간공학 및 시스템안전공학,32,"어떤 엘리베이터의 강철 로프는 세 가닥이지만, 실제로 두 가닥 이상만 정상이면 엘리베이터의 정상 작동은 확보된다. 강철 로프 한 가닥의 신뢰도가 r이라 할 때 엘리베이터의 정상작동 확률은?",,$r^2(1-r)+r^3$,$3r^2(1-r)+r^3$,$r^2+r^3$,$1-(1-r)^3$,2
산업안전기사,2006,1,인간공학 및 시스템안전공학,33,"인간이 기계를 조종하여 임무를 수행하여야 하는 인간-기계체계가 있다. 이 체계의 신뢰도가 0.8 이상 이어야 하며, 인간의 신뢰도는 0.9라 하면 기계의 신뢰도는 얼마이상 이어야 하는가?",,0.1,0.72,0.89,1.125,3
산업안전기사,2006,1,인간공학 및 시스템안전공학,34,여러 사람이 사용하는 의자의 좌면높이는 어떤 기준으로 설계해야 하는가?,,5% 오금높이,50% 오금높이,75% 오금높이,95% 오금높이,1
산업안전기사,2006,1,인간공학 및 시스템안전공학,35,체계 설계에서 인간공학의 가치와 관계가 가장 먼 것은?,,인력 이용율의 향상,훈련 비용의 절감,체계제작비의 절감,사고 및 오용으로부터의 손실 감소,3
산업안전기사,2006,1,인간공학 및 시스템안전공학,36,위험구역의 울타리 설계시 인체 측정자료 중 적용해야 할 인체치수로 가장 적절한 것은?,,구조적 인체 측정치,인체측정 최대치,인체측정 평균치,인체측정 최소치,2
산업안전기사,2006,1,인간공학 및 시스템안전공학,37,"회전운동을 하는 조종구와 같은 조종장치의 반경이 10cm이고 30° 만큼 움직였을 때, 선형표시장치의 눈금이 4.84cm 움직였다. 이때의 통제표시비는?",,1.256,1.08,0.965,0.833,2
산업안전기사,2006,1,인간공학 및 시스템안전공학,38,FTA의 논리기호 중 OR 게이트는?,O,image_2006_1_38_1,image_2006_1_38_2,image_2006_1_38_3,image_2006_1_38_4,4
산업안전기사,2006,1,인간공학 및 시스템안전공학,39,산업재해 발생의 배경에 대한 설명 중 잘못된 것은?,,작업환경과 개인의 잘못간의 연쇄성,재해관련 직·간접비용 발생의 법칙성,물적원인과 인적원인 발생 상호간의 단속성,준 사고(near miss)와 중대사고 발생 비율간의 법칙성,3
산업안전기사,2006,1,인간공학 및 시스템안전공학,40,인간의 에러 중 불필요한 작업 또는 절차를 수행하므로써 기인한 에러는?,,Omission error,Commission error,Sequential error,Extraneous error,4
산업안전기사,2006,1,기계위험방지기술,41,하중이 정격을 초과하였을 때 하중의 권상을 정지시키는 장치는?,,비상정지장치,브레이크장치,과부하방지장치,와이어로프 후크장치,3
산업안전기사,2006,1,기계위험방지기술,42,보일러의 제어장치가 아닌 것은?,,압력방출장치,압력제한스위치,언로드밸브,고저수위조절장치,3
산업안전기사,2006,1,기계위험방지기술,43,포크리프트 운전 중의 주의사항에서 틀린 것은?,,정해진 하중이나 높이를 초과하는 적재는 하지 않는다,운전자 외에 한사람은 탑승할 수 있다.,급격한 후퇴는 피한다.,견인시는 반드시 견인봉을 사용한다.,2
